1.07574,-0.382546,-0.0815018,0.946686,-0.329977,0.367325,0.939403
1.07576,-0.382456,-0.0815417,0.946698,-0.329462,0.367381,0.939461
1.07577,-0.382417,-0.0815769,0.946704,-0.32896,0.367445,0.939523
1.07578,-0.382436,-0.0816065,0.946703,-0.328479,0.367516,0.939587
1.07578,-0.382525,-0.0816296,0.946694,-0.328028,0.367597,0.939653
1.07579,-0.382692,-0.0816456,0.946678,-0.327617,0.367686,0.93972
1.07579,-0.382944,-0.0816539,0.946653,-0.327254,0.367786,0.939788
1.07579,-0.38329,-0.0816544,0.946619,-0.32695,0.367895,0.939854
1.07578,-0.383733,-0.0816472,0.946577,-0.326711,0.368016,0.939918
1.07577,-0.384277,-0.081633,0.946526,-0.326546,0.368147,0.939977
1.07576,-0.384923,-0.0816127,0.946469,-0.326461,0.368289,0.94003
1.07575,-0.385668,-0.081588,0.946405,-0.32646,0.36844,0.940077
1.07572,-0.387431,-0.081533,0.946265,-0.32672,0.368771,0.940142
1.0757,-0.388431,-0.0815077,0.946192,-0.32698,0.368947,0.940159
1.07569,-0.389494,-0.0814875,0.946118,-0.327325,0.369128,0.940164
1.07568,-0.390606,-0.0814753,0.946046,-0.327749,0.36931,0.94016
1.07567,-0.391749,-0.0814738,0.945975,-0.328248,0.369493,0.940145
1.07567,-0.392909,-0.0814854,0.945908,-0.328814,0.369672,0.940122
1.07566,-0.394067,-0.0815123,0.945845,-0.32944,0.369845,0.940093
1.07567,-0.395209,-0.081556,0.945784,-0.330118,0.370008,0.940061
1.07567,-0.396319,-0.0816174,0.945727,-0.330839,0.370158,0.940027
1.07569,-0.397383,-0.0816967,0.945672,-0.331596,0.370292,0.939997
1.0757,-0.398392,-0.0817931,0.945619,-0.332381,0.370406,0.939971
1.07575,-0.400205,-0.0820307,0.94551,-0.334003,0.370569,0.939949
1.07578,-0.400999,-0.0821665,0.945453,-0.334825,0.370614,0.939956
1.07581,-0.401715,-0.082309,0.945392,-0.335647,0.370633,0.939978
1.07584,-0.402354,-0.0824539,0.945326,-0.336461,0.370627,0.940014
1.07588,-0.402919,-0.0825967,0.945256,-0.337262,0.370597,0.940065
1.07591,-0.403414,-0.0827328,0.945181,-0.338043,0.370542,0.940128
1.07594,-0.403845,-0.0828576,0.945101,-0.3388,0.370465,0.940201
1.07598,-0.40422,-0.082967,0.945017,-0.339527,0.370369,0.940283
1.07601,-0.404545,-0.0830573,0.944929,-0.340219,0.370254,0.940369
1.07604,-0.40483,-0.0831256,0.944839,-0.340872,0.370123,0.940458
